codigo_producto,nombre_producto,tipo_b_s,categoria_codigo,subcategoria_codigo,procedencia_pais,iva_pct,precio_lista_1,precio_lista_2,precio_lista_3,activo_catalogo,lote_export,marca_color_catalogo
UC.1494.11,"CAMPANA GOMCO PARA CIRCUNCISION, DIAMETRO 11MM, PARA NINOS",B,1,22,ALEMANIA,,"0,00000000","0,00000000","0,00000000",S,0,AZUL
UC.1494.13,"CAMPANA GOMCO PARA CIRCUNCISION, DIAMETRO 13MM, PARA NINOS",B,1,22,ALEMANIA,,"0,00000000","0,00000000","0,00000000",S,0,ROJO
URT-1,URETINA COLOR CAFE,B,6,54,ECUADOR,,"0,00000000","0,00000000","0,00000000",S,0,VERDE
US2020,"ULTRASNAP ATP SUPERFICIE, CAJA POR 100 UNIDADES",B,4,28,CHINA,,"0,00000000","0,00000000","0,00000000",N,0,AMARILLO
V,,B,,,,"15,00000003",,,,N,0,NARANJA
VA003-9,"VALVULA SOLENOIDE, PLAT 100 VDC, EQUALIZATN",B,8,2,ESTADOS UNIDOS,,"0,00000000","0,00000000","0,00000000",S,0,VIOLETA
VA005-1,"VALVULA DE ESCAPE,1/4 PULGADAS MPT.638581",B,8,2,ESTADOS UNIDOS,,"0,00000000","0,00000000","0,00000000",S,0,GRIS
VA006-1,"VALVULA CHECK, 1/4 PULGADAS BARB X 1/4 PULGADAS MPC-A975",B,8,2,ESTADOS UNIDOS,,"0,00000000","0,00000000","0,00000000",S,0,AZUL
VA034-1,"VALVULA SOLENOIDE, LIT, RBLT, ALIMENTADA CON 316372",B,8,2,ESTADOS UNIDOS,,"0,00000000","0,00000000","0,00000000",S,0,ROJO
VA054-1,"VALVULA SOLENOIDE, ESPIRAL 100 VDC, 20483816",B,8,2,ESTADOS UNIDOS,,"0,00000000","0,00000000","0,00000000",S,0,VERDE
VC.24B,"VIBROPERCUTOR DE 110 V, NEGRO",B,8,55,ESTADOS UNIDOS,,"396,00000238","396,00000158","396,00000317",S,0,AMARILLO
VC24,TARJETA ELECTRONICA VIBROPERCUTOR,B,8,55,ESTADOS UNIDOS,,"0,00000000","0,00000000","0,00000000",S,0,NARANJA
VEL-1.0,"VELCRO DE 1"" COLOR BLANCO, ROLLO",B,6,89,ECUADOR,,"0,00000000","0,00000000","0,00000000",S,0,VIOLETA
VEL-1.5,"VELCRO DE 1.5"" COLOR BLANCO, ROLLO",B,6,54,ECUADOR,,"0,00000000","0,00000000","0,00000000",S,0,GRIS
VENAF001,GRAND VITARA SZ BLANCO /MARCA SUZUKI MODELO GRAND VITARA SZ NEXTAC 2.4 5P 4X2 TA ANIO 2015 CHASIS 8LDCB0373F0297572 COLOR BLANCO,S,6,106,,,"0,00000000","0,00000000","0,00000000",S,0,AZUL
VEY-4,VENDAS DE YESO 4 PULGADAS CAJAS DE 60 UNIDADES,B,6,54,ECUADOR,,"0,00000000","0,00000000","0,00000000",S,0,ROJO
VEY-6,VENDAS DE YESO 6 PULGADAS CAJAS DE 60 UNIDADES,B,6,54,ECUADOR,,"0,00000000","0,00000000","0,00000000",S,0,VERDE
VEY-8,VENDAS DE YESO 8 PULGADAS CAJAS DE 60 UNIDADES,B,6,54,ECUADOR,,"0,00000000","0,00000000","0,00000000",S,0,AMARILLO
VPD40MR1707036,"POLIDIOXANONA 4-0 17 MM, 70 CM AGUJA REDONDA 1/2",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,NARANJA
VPD40MR2607036,"POLIDIOXANONA 4-0 26 MM, 70 CM AGUJA REDONDA 1/2",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,VIOLETA
VPD50MR1707036,"POLIDIOXANONA 5-0 17 MM, 70 CM AGUJA REDONDA 1/2",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,GRIS
VPD60MR1707036,"POLIDIOXANONA 6-0 17 MM, 70 CM AGUJA REDONDA 1/2",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,AZUL
VSAA001MR35007036,"ACIDO POLIGLICOLICO ANTIBACTERIAL 1, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 35MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,ROJO
VSAA001MR35007536,"ACIDO POLIGLICOLICO ANTIBACTERIAL 1, AGUJA PUNTA REDONDA,1/2 CIRC LONG 35MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,VERDE
VSAA010MR25007036,"ACIDO POLIGLICOLICO ANTIBACTERIAL 0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 25MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,AMARILLO
VSAA010MR25007536,"ACIDO POLIGLICOLICO ANTIBACTERIAL 0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 25MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,NARANJA
VSAA010MR35007036,"ACIDO POLIGLICOLICO ANTIBACTERIAL 0, AGUJA REDONDA 1/2 CIRC, LONG 35MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,VIOLETA
VSAA010MR35007536,"ACIDO POLIGLICOLICO ANTIBACTERIAL 0 AGUJA REDONDA, 1/2 CIRC, LONG 35MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,GRIS
VSAA010MR36407536,"ACIDO POLIGLICOLICO ANTIBACTERIAL 0, AGUJA REDONDA, 1/2 CIRC, LONG 36-40MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,AZUL
VSAA020MR25007036,"ACIDO POLIGLICOLICO ANTIBACTERIAL 2-0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 25MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,ROJO
VSAA020MR36007036,"ACIDO POLIGLICOLICO ANTIBACTERIAL 2-0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 36MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,VERDE
VSAA030MR25007536,"ACIDO POLIGLICOLICO ANTIBACTERIAL 3-0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 25MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,AMARILLO
VSAA040MR26007036,"ACIDO POLIGLICOLICO ANTIBACTERIAL 4-0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 26MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,NARANJA
VSAA040MR26007536,"ACIDO POLIGLICOLICO ANTIBACTERIAL 4-0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 26MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,VIOLETA
VSAA050MR15007536,"ACIDO POLIGLICOLICO ANTIBACTERIAL 5-0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 15MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,GRIS
VSAG001MR35007036,"POLIGLACTIN 1, AGUJA PUNTA REDONDA 1/2 CIRC, LONG. 35MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,AZUL
VSAG001MR35007536,"POLIGLACTIN 1, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 35MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,ROJO
VSAG001MR36007036,"POLIGLACTIN 1, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 36MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,VERDE
VSAG001MR36007536,"POLIGLACTIN 1, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 36MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,AMARILLO
VSAG001MR37007536,"POLIGLACTIN 1, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 37MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,NARANJA
VSAG010MR35007036,"POLIGLACTIN 0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 35MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,VIOLETA
VSAG010MR36007036,"POLIGLACTIN 0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 36MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,GRIS
VSAG010MR37007536,"POLIGLACTIN 0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 37MM, HEBRA 75CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,AZUL
VSAG020MC19007036,"POLIGLACTIN 2-0, AGUJA PUNTA CORTANTE 1/2 CIRC, LONG 19MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,ROJO
VSAG020MR25007036,"POLIGLACTIN 2-0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 25MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,VERDE
VSAG020MR26007036,"POLIGLACTIN 2-0, AGUJA REDONDA 1/2 CIRC, LONG 26MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,AMARILLO
VSAG020MR36007036,"POLIGLACTIN 2-0, AGUJA PUNTA REDONDA 1/2 CIRC, LONG 36MM, HEBRA 70CM",B,14,56,PERU,,"0,00000000","0,00000000","0,00000000",S,0,NARANJA
